company,city,state,website,apollo_biz_type,verification_status,evidence,notes
Cupini's Inc.,Kansas City,Missouri,http://www.cupinis.com,catering/food truck,OPEN,"Active website, Yelp 558 reviews, 1809 Westport Rd KC MO, featured on Food Network. One location (25 E 12th St) confirmed closed.",2 locations historically; 1 active (Westport). Catering operation. National shipping. ~22 Apollo employees. Est. premium $15K-$25K BOP+WC+auto.
Headrush Roasters Coffee & Tea,Kansas City,Missouri,http://www.headrushroasters.com,bar/brewery,OPEN,"Active website, Yelp 96 reviews, 4115 N Mulberry Dr KC MO. Also at Village at Briarcliff. Family-owned since 2012.","2 locations in KC metro. Small-batch roasting, on-site cafe. 11 Apollo employees. Est. premium $10K-$15K BOP+WC."
Lulu's Thai Noodle Shop,Kansas City,Missouri,http://www.lulusnoodles.com,bar/brewery,OPEN,"Active website, Yelp 870 reviews, 3 KC metro locations confirmed (KC Crossroads, Overland Park, Westwood). $20.6M revenue in Apollo.",3 locations KC metro — major multi-line account. Thai-owned. BOP × 3 + WC + liquor. Revenue $20M+ makes this a $30K+ est. premium. High priority.
TikiTaco,Kansas City,Missouri,http://www.tikitaco.com,bar/brewery,OPEN,"Active website, Yelp 332 reviews, 2 KC MO locations (1710 W 39th St, 5400 Troost Ave). Full bar, fusion menu.",2 KC locations + full bar. 19 Apollo employees. BOP × 2 + WC + liquor liability. Revenue $17.2M. Est. premium $25K+.
Golden palace,Olathe,Kansas,http://www.goldenpalaceolathe.com,full-service restaurant,OPEN,"Active website, Yelp 92 reviews, 1711 S Mur-Len Rd Olathe KS. Confirmed in KC metro.",Chinese restaurant in KC metro. 18 Apollo employees. Likely Asian-owned. BOP + WC + liquor. Est. premium $10K-$20K.
Summit Hospitality Group,Lee's Summit,Missouri,http://www.summitgrillkc.com,bar/brewery,OPEN,"Active website, 3 confirmed locations (Lee's Summit, Gladstone, Waldo KC MO). 29 Apollo employees. Full bar. Since 2012.",3-location restaurant group in KC metro. Full bar. 29 Apollo employees. Multi-line: BOP × 3 + WC + liquor + umbrella. Est. premium $30K+. Note: Asian flag was false positive — American cuisine.
Swagat Fine Indian Cuisine,Kansas City,Missouri,http://www.swagatkc.com,full-service restaurant,OPEN,"Active website, Yelp 602 reviews, 7407 NW 87th St KC MO. Also operates Swagat Spice Bazaar next door. Indian-owned.",Indian-owned restaurant + attached grocery in KC metro. Multi-line: BOP + WC + product liability (grocery). 14 Apollo employees. Est. premium $12K-$18K.
Twin Dragon,Saint Joseph,Missouri,http://www.twindragonsj.com,full-service restaurant,OPEN,"Active website, Yelp 47 reviews, 2604 N Belt Hwy St Joseph MO. Reopened under new management in 2024. Carry-out only, no pork.",Chinese restaurant in St. Joseph MO (territory). Reopened 2024 — new management = new broker opportunity. 24 Apollo employees. Est. premium $12K-$18K.
Bamboo Penny's,Leawood,Kansas,http://www.bamboopennys.com,bar/brewery,OPEN,"Active website, Yelp 612 reviews, 5270 W 116th Pl Leawood KS. Chef Penny expanding: also owns Penny's (Prairie Village) and Aqua Penny's (upcoming).","Thai-owned, growing KC restaurant group. Leawood location + Prairie Village + Aqua Penny's opening = expanding fleet of locations. BOP + WC + liquor. Est. premium $15K-$25K now, $30K+ soon."
Bo Lings Chinese Restaurant,Kansas City,Missouri,http://www.bolings.com,bar/brewery,OPEN,"Active website, Yelp 463 reviews, 4 confirmed open locations in KC metro (Plaza, Zona Rosa + 2 more). Since 1981. $11.9M revenue. 41 Apollo employees.","Largest Chinese restaurant group in KC, since 1981. 4 locations + dim sum. 41 Apollo employees = $50K+ est. actual staff. BOP × 4 + WC + liquor + commercial auto. Est. premium $40K+. TOP PRIORITY."
Genghis Khan Mongolian Grill,Kansas City,Missouri,http://www.gkbbq.com,full-service restaurant,OPEN,"Active website, Yelp 250 reviews, 3906 Bell St KC MO. In business since 1995, full-service bar, midtown KC historic building.",KC original Mongolian grill since 1995. Full bar + all-you-can-eat. 21 Apollo employees. BOP + WC + liquor. Est. premium $12K-$18K. Long track record = likely with same agent for years.
Farm To Market Bread Co.,Kansas City,Kansas,http://www.farmtomarketbread.com,bakery/cafe,OPEN,"Active website, confirmed KC KS operation, largest fresh bread bakery in KC area. 65 actual employees (vs 20 in Apollo). Daily delivery to 200+ grocery stores + restaurants.",Wholesale bakery with daily delivery fleet — strong commercial auto + WC + products liability. 65 real employees. Revenue $3.2M (likely understated for wholesale). Est. premium $20K-$35K.
The Culinary Center of Kansas City,Overland Park,Kansas,http://www.kcculinary.com,bakery/cafe,OPEN,"Active website, Yelp 104 reviews, 7920 Santa Fe Dr Overland Park KS. 30 years in business. 600+ events/year. Opening new Briarcliff location March 2026.",Cooking school + event venue celebrating 30 years. New location opening = growth signal. BOP + WC + event/liquor liability + umbrella. 13 Apollo employees. Est. premium $10K-$18K.
Sheridan's Unforked,Overland Park,Kansas,http://www.unforked.com,catering/food truck,OPEN,"Active website, Yelp 583 reviews, 7337 W 119th St Overland Park KS. Soft reopened after 2022 fire. Drive-thru. 18 Apollo employees.",Recently reopened after fire — almost certainly needs a fresh insurance review/quote. $10M revenue in Apollo. BOP + WC. Est. premium $12K-$18K. Fire history = coverage gap opportunity.
Fuji Japanese Steak House,Liberty,Missouri,http://www.fujilibertytogo.com,full-service restaurant,OPEN,"Website active for Fuji Sushi & Grill, 927 W Liberty Dr Liberty MO. Old location closed; current location open since 2017. Hibachi + sushi + full bar.",Japanese steakhouse/sushi with hibachi + full bar in KC metro (Liberty MO). 23 Apollo employees. BOP + WC + liquor. Est. premium $12K-$18K. Note: operating as 'Fuji Sushi & Grill' now.
Parisi Coffee,Kansas City,Missouri,http://www.parisicoffee.com,bakery/cafe,OPEN,"Active website, multiple locations confirmed (Union Station, Overland Park, Argosy Casino, KCI). Largest specialty coffee roaster in central US. 28 Apollo employees.",World Barista Championship winner. 4+ locations across KC metro including airport + casino + Union Station. BOP × 4 + WC + commercial auto (delivery/wholesale). Est. premium $20K-$30K.
Garozzo's Ristorante,Kansas City,Missouri,http://www.garozzos.com,catering/food truck,OPEN,"Active website, Yelp 866 reviews, 526 Harrison St KC MO + additional locations. Since 1989, family-owned. Famous for Chicken Spiedini.","KC Italian landmark since 1989. Family-owned, multi-location. 27 Apollo employees. BOP + WC + catering + liquor. Est. premium $15K-$25K."
Chinese Grocery Store,Manhattan,Kansas,http://www.crunchbearmarket.com,full-service restaurant,OPEN,"Active website, confirmed as Crunch Bear Market in Manhattan KS. Asian market with boba tea, milk tea, smoothies. Near Kansas State University.",Asian grocery + boba cafe near K-State. Likely Asian-owned. Small but niche. BOP + product liability. 25 Apollo employees seems high for this type — verify. Est. premium $8K-$12K.
Rye KC,Leawood,Kansas,http://www.ryekc.com,catering/food truck,OPEN,"Active website, Yelp 854 reviews, 10551 Mission Rd Leawood KS + Rye Plaza KC MO. Since 2012. Weekend brunch, full bar, locally sourced.","Upscale American bistro, 2 locations. Full bar + seasonal menu. 24 Apollo employees. BOP × 2 + WC + liquor. Est. premium $20K-$30K."
Prime Sushi,Kansas City,Missouri,http://www.primesushikc.com,full-service restaurant,OPEN,"Active website, Yelp 397 reviews, 4980 Main St KC MO. Full menu: sushi, sashimi, ramen, Korean dishes. Near Country Club Plaza.",Pan-Asian restaurant in KC's Country Club Plaza area. 15 Apollo employees. BOP + WC + liquor. Est. premium $10K-$15K.
VIVIANOS FESTA ITALIANO,Fenton,Missouri,http://www.vivianosmarket.com,catering/food truck,OPEN,"Active website, Yelp 226 reviews, 55 Fenton Plaza Fenton MO. Since 2003. Dine-in + Italian grocery + curbside pickup.",Italian restaurant + grocery in Fenton MO (St. Louis suburb). Since 2003. BOP + product liability (retail grocery) + WC. 22 Apollo employees. Est. premium $12K-$18K.
Bartolino's Restaurant,St. Louis,Missouri,http://www.bartolinosrestaurants.com,catering/food truck,OPEN,"Active website, 3 confirmed locations (South, The Hill, Twin Oaks). Since 1969. Formal Italian dining.",Established St. Louis Italian restaurant group since 1969. 3 locations. 27 Apollo employees. BOP × 3 + WC + liquor. Est. premium $25K-$40K.
Dolce Bakery,Prairie Village,Kansas,http://www.dolcebakes.com,catering/food truck,OPEN,"Active website, Yelp 127 reviews, 3930 W 69th Ter Prairie Village KS. Since 2007. Custom cakes, wedding catering, retail bakery.",Established KC metro scratch bakery + wedding cake specialist. 37 Apollo employees (larger than typical bakery). BOP + WC + catering/event liability. Est. premium $15K-$22K.
"Tippin's Gourmet Pies, LLC",Kansas City,Kansas,http://www.tippinspies.com,bakery/cafe,OPEN,"Active website, 5051 Speaker Rd KC KS. Wholesale bakery selling pies to grocery stores nationally. 25 Apollo employees.",Wholesale food manufacturer — pies sold to Hen House + 200+ grocers nationally. Products liability + WC + commercial auto (delivery) + property. Est. premium $18K-$28K.
Vista Drive In Reasturant,Manhattan,Kansas,http://www.vistadrivein.com,catering/food truck,OPEN,"Active website, Yelp 82 reviews, 1911 Tuttle Creek Blvd Manhattan KS. Since 1964. Open 7 days. Famous Vistaburger.",Manhattan KS institution since 1964. 28 Apollo employees. BOP + WC. Not KC metro but MO/KS territory. Est. premium $12K-$18K.
Reverie Coffee Roasters,Wichita,Kansas,http://www.reverieroasters.com,bakery/cafe,OPEN,"Active website, Yelp 274 reviews, 2202 E Douglas Ave Wichita KS. USA Today 10 Best Independent Coffee Shop. Wholesale distribution + cafe.",Award-winning Wichita coffee roaster with cafe + wholesale B2B. Wichita is in KS territory. 13 Apollo employees. BOP + WC + commercial auto (delivery). Est. premium $10K-$15K. Note: Not KC metro — different market.
Pappy's Smokehouse,St. Louis,Missouri,http://www.pappyssmokehouse.com,catering/food truck,OPEN,"Active website, Yelp 4835 reviews, 3106 Olive St St. Louis MO. Since 2008. Food Network #1 BBQ ribs. 28 Apollo employees.",Nationally recognized St. Louis BBQ landmark. Very high review volume. 28 Apollo employees. BOP + WC + commercial auto. Est. premium $15K-$22K. Note: Not KC metro — St. Louis market.
Room 39,Kansas City,Missouri,http://www.rm39.com,catering/food truck,OPEN,"Active website, Yelp 498 reviews, 1719 W 39th St KC MO. Brunch + lunch + dinner. Locally sourced ingredients.",KC neighborhood restaurant on 39th St corridor. 15 Apollo employees. BOP + WC. Est. premium $8K-$12K.
Fiorella's,Overland Park,Kansas,http://www.fiorellaskc.com,catering/food truck,OPEN,"Confirmed as Fiorella's Jack Stack Barbecue, 9520 Metcalf Rd Overland Park KS. Zagat #1 BBQ. Multiple KC locations (OP, Plaza, Freight House, Martin City). 35 Apollo employees.","KC BBQ institution — multiple locations, famous brand. 35 Apollo employees. Full bar. BOP × 4+ + WC + liquor + commercial auto. Est. premium $35K-$50K. Large account."
Rancho Grande Cantina Restaurant,Parkville,Missouri,http://www.rgcantina.com,full-service restaurant,OPEN,"Active website, Yelp 187 reviews, 11015 NW 45 Hwy Parkville MO. Since 1995, 3 locations in KC metro. Full cantina/bar.",3-location KC metro Mexican restaurant with full bar since 1995. 29 Apollo employees. BOP × 3 + WC + liquor. Est. premium $20K-$30K.
Off the Vine Catering,Leavenworth,Kansas,http://www.offthevinecatering.com,catering/food truck,OPEN,"Confirmed as J.W. Crancer's Event Space & Off The Vine Catering Co (Lombardo's Hospitality Group), 530 Delaware Leavenworth KS. Weddings/events 40-400 guests.",Event venue + full-service catering in Leavenworth KS. Multi-line: BOP + WC + event liability + liquor. 22 Apollo employees. Est. premium $15K-$22K.
Old Shawnee Pizza,Shawnee,Kansas,http://www.shawneepizza.com,full-service restaurant,OPEN,"Active website, Yelp 273 reviews, 6000 Rogers Dr Shawnee KS. Since 1969, family-owned. 2 locations (Shawnee + Lenexa). Famous Crab Rangoon Pizza.","KC metro pizza institution since 1969. Family-owned, 2 locations. 26 Apollo employees. BOP × 2 + WC. Est. premium $15K-$22K."
Plate,Kansas City,Missouri,http://www.platekc.com,catering/food truck,OPEN,"Active website, 701 E 63rd St KC MO. Modern Italian restaurant with catering for weddings/corporate events. Also has Leawood private dining.",Upscale Italian restaurant + catering operation. 32 Apollo employees. BOP + WC + catering/event liability. Est. premium $15K-$22K.
Kome Sushi,Parkville,Missouri,http://www.komesushikc.com,full-service restaurant,OPEN,"Active website, Yelp 107 reviews, 10925 NW Hwy 45 Parkville MO. Sushi, teriyaki, hibachi, bento. Active on DoorDash/delivery.",Sushi + hibachi restaurant in Parkville MO (KC metro). 23 Apollo employees. BOP + WC + liquor. Est. premium $10K-$15K.
"Exit 11 Coffee, LLC",Washington,Missouri,http://www.exit11coffee.com,bakery/cafe,OPEN,"Food business (food & beverages): exit 11 coffee is a fast-growing two-lane drive-thru coffee company, roastery, and wholesaler servin",MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
Hiway Inn,Girard,Kansas,,full-service restaurant,OPEN,Food business (restaurants): See Apollo data,Asian/ethnic cuisine; MO/KS territory; 3 locations. Confirmed food/restaurant business — proceed to Stage 3.
Stone Canyon Gladstone,Gladstone,Missouri,http://www.stonecanyonpizza.com,bar/brewery,OPEN,"Food business (food & beverages): stone canyon pizza has been the perfect place for a quick lunch, social gathering with friends, or a","KC metro; $13,323,000 rev; 2 locations. Confirmed food/restaurant business — proceed to Stage 3."
Post Coffee Company,Lee's Summit,Missouri,http://www.postcoffeecompany.com,bar/brewery,OPEN,Food business (food & beverages): post coffee company is a locally owned coffee shop with four locations throughout the kansas city me,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
V's Italiano Ristorante,Independence,Missouri,http://www.vsrestaurant.com,bakery/cafe,OPEN,"Food business (restaurants): the roots of v's italiano ristorante date back to 1963 when ""v"" (vita) and jay totta decided to open","KC metro; $13,084,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
The Farmhouse KC,Kansas City,Missouri,http://www.eatatthefarmhouse.com,full-service restaurant,OPEN,"Food business (restaurants): farm to table, tip to tail restaurant sourcing from local farmers from kansas and missouri.  by sour",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Sunnycrest Farm,Blue Mound,Kansas,http://www.sunnycrestfarmnh.com,bakery/cafe,OPEN,"Food/hospitality business (farming): sunnycrest farm apple farm offers pick-your-own apples, strawberries, blueberries and cherries, a fa","MO/KS territory; $16,283,000 rev. Food business confirmed — proceed to Stage 3."
Eileen's Colossal Cookies - Kansas City,Kansas City,Missouri,,bakery/cafe,OPEN,"Food business (food & beverages): at eileen's colossal cookies - kansas city, we make all the dough and frosting daily  and cookies ar","KC metro; $36,835,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Pirtle Winery,Weston,Missouri,http://www.pirtlewinery.com,bar/brewery,OPEN,"Food business (food production): family-owned and operated since 1978, pirtle winery produces superior quality wines with a great dea","KC metro; $39,084,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Christopher Elbow Chocolates,Kansas City,Missouri,http://www.elbowchocolates.com,bar/brewery,OPEN,"Food business (food & beverages): christopher elbow artisan chocolates, where modern artistry meets traditional handcraftsmanship, yie","KC metro; $4,677,000 rev; 2 locations. Confirmed food/restaurant business — proceed to Stage 3."
The Brass Onion,Overland Park,Kansas,http://www.thebrassonion.com,full-service restaurant,OPEN,"Food business (restaurants): the brass onion invites you to experience what makes us special. from the 
moment you arrive our war",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Jess & Jim’s Steak House,Kansas City,Missouri,http://www.jessandjims.com,full-service restaurant,OPEN,Food business (restaurants): jess and jims is a family owned restaurant that has been in business for over 74 years. the entire f,"KC metro; $8,561,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Governor Stumpy's Grill House,Kansas City,Missouri,http://www.governorstumpys.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $11,956,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
"Louisburg Cider Mill, Inc.",Louisburg,Kansas,http://www.louisburgcidermill.com,bar/brewery,OPEN,"Food business (food & beverages): what started as a dream for emmett o'rear in 1977 of bringing him, his wife, mary, and their daughte",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Meat Mitch LLC,Prairie Village,Kansas,http://www.meatmitch.com,full-service restaurant,OPEN,"Food business (food & beverages): meat mitch is a competitive bbq team and bbq sauce supplier to kings and queens, hailing from the ho",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Watermark Books & Cafe,Wichita,Kansas,http://www.watermarkbooks.com,bakery/cafe,OPEN,Food/hospitality business: watermark books & cafe is a independent bookstore and has existed in wichita since 1977. watermark b,"MO/KS territory; $8,582,000 rev. Food/hospitality business in MO/KS — proceed to Stage 3."
Trezo Mare Restaurant and Lounge,Kansas City,Missouri,http://www.trezomare.com,full-service restaurant,OPEN,"Food business (restaurants): located in the village at briarcliff, trezo mare is a scratch kitchen, serving all styles of handcra","KC metro; $9,014,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Roots. Seasonal Cuisine,Lee's Summit,Missouri,http://www.rootsseasonalcuisine.com,full-service restaurant,OPEN,"Food business (restaurants): cultivate sensational menu items utilizing the freshest ingredients, growing and
introducing new ide",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
BETTY RAE'S ICE CREAM LLC,Kansas City,Missouri,http://www.bettyraes.com,catering/food truck,OPEN,Food business (food & beverages): scooping some of kansas city’s boldest ice cream flavors since 2016. kick traditional varieties to t,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Chick N Max,Wichita,Kansas,http://www.chicknmax.com,catering/food truck,OPEN,"Food business (food & beverages): chick n max is a fast casual restaurant chain based in wichita, kansas, founded in 2018 by max sheet",MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
ROMA BAKERY,Kansas City,Missouri,http://www.romabakerykc.com,bakery/cafe,OPEN,Food business (food & beverages): description,"KC metro; $20,612,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Heartland Waffles,Westwood,Kansas,http://www.heartlandwaffles.com,bakery/cafe,OPEN,"Food business (food & beverages): heartland waffles treats our customers to a great waffle experience every day, from the quality of o","KC metro; $12,000,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Gram & Dun,Kansas City,Missouri,http://www.gramanddun.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $3,219,000 rev. Confirmed food business — proceed to Stage 3."
BRGR Kitchen + Bar,Kansas City,Missouri,http://www.brgrkitchen.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Radinas Coffeehouse And Roastery,Manhattan,Kansas,http://www.radinascoffee.com,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,"MO/KS territory; $13,285,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
PT's Coffee Roasting Co.,Topeka,Kansas,http://www.ptscoffee.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"MO/KS territory; $4,111,000 rev; 4 locations. Confirmed food business — proceed to Stage 3."
Grand Street Cafe,Kansas City,Missouri,http://www.grandstreetkc.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $2,394,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
Brooksider Sportsbar & Grill,Kansas City,Missouri,http://www.brooksider.com,bar/brewery,OPEN,Food business in MO/KS territory: hospitality,KC metro. Confirmed food business — proceed to Stage 3.
GROUNDHOUSE COFFEE INC.,Gardner,Kansas,http://www.groundhousecoffee.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $14,519,000 rev. Confirmed food business — proceed to Stage 3."
Bengelina Hospitality Group,St. Louis,Missouri,http://www.bengelina.com,bakery/cafe,OPEN,"Food/hospitality business: a restaurant group by chef ben poremba.  created with love for food and people, bringing flavors and",MO/KS territory. Food/hospitality business in MO/KS — proceed to Stage 3.
The Well,Kansas City,Missouri,http://www.waldowell.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Arthur Bryant's Barbeque,Kansas City,Missouri,http://www.arthurbryantsbbq.com,catering/food truck,OPEN,"Food business (restaurants): arthur bryant's legendary barbeque
where is the home of the best barbeque in kansas city? welcome to",KC metro; 2 locations. Confirmed food/restaurant business — proceed to Stage 3.
The Golden Scoop,Overland Park,Kansas,http://www.thegoldenscoop.org,bakery/cafe,OPEN,"Food business (food & beverages): the golden scoop is a nonprofit ice cream and coffee shop located in overland park, kansas city. fou",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Ginger Sue’s,Lee's Summit,Missouri,http://www.gingersues.com,full-service restaurant,OPEN,"Food business (restaurants): eat among friends. classic and contemporary breakfast, brunch and lunch. with fresh food, warm servi",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Brookside Barrio,Kansas City,Missouri,http://www.barriokc.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Askinosie Chocolate,Springfield,Missouri,http://www.askinosie.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"MO/KS territory; $21,000,000 rev. Confirmed food business — proceed to Stage 3."
Spicin Foods,Kansas City,Kansas,http://www.spicinfoods.com,food/bev general,OPEN,Food business in MO/KS territory: food production,KC metro. Confirmed food business — proceed to Stage 3.
Good Spirits Distilling,Olathe,Kansas,http://www.gsdalcohol.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Thelma's Kitchen,Kansas City,Missouri,http://www.thelmaskitchen.org,catering/food truck,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
WheatFields Bakery Café,Lawrence,Kansas,http://www.wheatfieldsbakery.com,bakery/cafe,OPEN,Food business in MO/KS territory: food production,"MO/KS territory; $11,538,000 rev. Confirmed food business — proceed to Stage 3."
Lon Lane's Inspired Occasions,Kansas City,Missouri,http://www.inspiredoccasionskc.com,full-service restaurant,OPEN,Food business in MO/KS territory: events services,"KC metro; $31,070,000 rev. Confirmed food business — proceed to Stage 3."
KC Cattle Company,Weston,Missouri,http://www.kccattlecompany.com,full-service restaurant,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Café Des Amis,Parkville,Missouri,http://www.cafedesamiskc.com,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Scratch Gourmet Kitchen,Prairie Village,Kansas,http://www.scratchgourmet.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
The Mad Greek,Lawrence,Kansas,http://www.themadgreeklawrence.com,catering/food truck,OPEN,"Food business (food & beverages): the mad greek has been a lawrence institution for over two decades.  
family owned and operated sinc",MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
Pegah's Family Restaurant,Lenexa,Kansas,http://www.pegahs.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $280,000 rev. Confirmed food business — proceed to Stage 3."
