company,city,state,website,apollo_biz_type,verification_status,evidence,notes
"SOMBRERO'S MEXICAN CANTINA, LLC",Shawnee,Kansas,http://www.sombreroskc.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Urban Table,Prairie Village,Kansas,http://www.urbantablekc.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Bissinger's Handcrafted Chocolatier,St. Louis,Missouri,http://www.bissingers.com,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,"MO/KS territory; $11,000,000 rev; 3 locations. Confirmed food business — proceed to Stage 3."
Hog Wild BBQ,Derby,Kansas,http://www.hogwildpitbbq.com,catering/food truck,OPEN,Food business in MO/KS territory: executive office,"MO/KS territory; $13,608,000 rev; 3 locations. Confirmed food business — proceed to Stage 3."
The Restaurant at 1900,Mission,Kansas,http://www.therestaurantat1900.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
McGregor's Butcher and Bistro,Overland Park,Kansas,http://www.mcgregorsbutcherandbistro.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Twisted Fresh,Kansas City,Missouri,http://www.twistedfresh.com,catering/food truck,OPEN,"Food business (restaurants): it's simple. we believe that fast casual food can be fresh, healthy, and full of flavor. gourmet tac","KC metro; $317,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Guaranteed Foods Inc,Shawnee,Kansas,http://www.guaranteedfoods.com,food manufacturing,OPEN,"Food business (food & beverages): guaranteed foods, inc., is a direct-to-home foodservice, founded in kansas city in 1958 with the obj","KC metro; $9,221,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Smokehouse BBQ KC,Independence,Missouri,http://www.smokehousebbq.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro; 6 locations. Confirmed food business — proceed to Stage 3.
Olive Events + Catering,Kansas City,Kansas,http://www.oliveeventscatering.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Paulo and Bill,Shawnee,Kansas,http://www.pauloandbill.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $17,369,000 rev. Confirmed food business — proceed to Stage 3."
Timber Creek Bar & Grill,Louisburg,Kansas,http://www.timbercreeklouisburg.com,bar/brewery,OPEN,Food business in MO/KS territory: consumer services,KC metro; 3 locations. Confirmed food business — proceed to Stage 3.
Kaffe Haus,Higginsville,Missouri,http://www.kaffehaus.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,MO/KS territory. Confirmed food business — proceed to Stage 3.
Brew Haha Coffeehouse,Overland Park,Kansas,http://www.brewhahacoffeehouse.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
"Healthy Meals, INC.",Riverside,Missouri,http://www.healthymealsinc.com,food manufacturing,OPEN,Food business in MO/KS territory: food production,"KC metro; $6,644,000 rev. Confirmed food business — proceed to Stage 3."
Morgans Restaurant,Odessa,Missouri,http://www.morgansrest.net,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"MO/KS territory; $5,733,000 rev. Confirmed food business — proceed to Stage 3."
ERINS PUB,Independence,Missouri,http://www.erinpubnorwood.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
One Egg Group,Manhattan,Kansas,http://www.one-egg.com,catering/food truck,OPEN,Food business in MO/KS territory: hospitality,MO/KS territory. Confirmed food business — proceed to Stage 3.
Prenger Foods,Bucklin,Missouri,http://www.prengerfoods.com,bakery/cafe,OPEN,Food business in MO/KS territory: marketing & advertising,"MO/KS territory; $12,594,000 rev. Confirmed food business — proceed to Stage 3."
Grandma's Catering,Kansas City,Missouri,http://www.grandmascatering.com,food/bev general,OPEN,Food business in MO/KS territory: food & beverages,"KC metro; $7,324,000 rev. Confirmed food business — proceed to Stage 3."
Maceli's Catering & Events,Lawrence,Kansas,http://www.macelis.com,catering/food truck,OPEN,Food business in MO/KS territory: hospitality,MO/KS territory. Confirmed food business — proceed to Stage 3.
Powercat Sports Grill,Manhattan,Kansas,http://www.powercatsportsgrill.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,MO/KS territory. Confirmed food business — proceed to Stage 3.
Trattoria Marcella,St. Louis,Missouri,http://www.trattoriamarcella.com,full-service restaurant,OPEN,Food business (food & beverages): a familyowned italian restaurant in st. louis that offers the best italian food that st. louis has t,"MO/KS territory; $21,191,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
"LOUIE'S WINE DIVE KC, LLC",Kansas City,Missouri,http://www.louieswinedive.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $3,700,000 rev. Confirmed food business — proceed to Stage 3."
Brewlab,Overland Park,Kansas,http://www.brewlabkc.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $6,589,000 rev. Confirmed food business — proceed to Stage 3."
The Merc Co+op,Lawrence,Kansas,http://www.themerc.coop,bakery/cafe,OPEN,Food business in MO/KS territory: retail,"MO/KS territory; $6,215,000 rev. Confirmed food business — proceed to Stage 3."
Silo Modern Farmhouse,Lenexa,Kansas,http://www.silocanyonfarms.com,full-service restaurant,OPEN,Food business in MO/KS territory: ,KC metro. Confirmed food business — proceed to Stage 3.
The Majestic Restaurant,Kansas City,Missouri,http://www.majestickc.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"KC metro; $6,650,000 rev. Confirmed food business — proceed to Stage 3."
Falcon Lakes Golf Club,Basehor,Kansas,http://www.falconlakesgolf.com,bar/brewery,OPEN,Food business in MO/KS territory: recreational facilities & services,"KC metro; $2,297,000 rev. Confirmed food business — proceed to Stage 3."
Golden Boy Pies Inc,Overland Park,Kansas,http://www.goldenboypies.com,bakery/cafe,OPEN,Food business in MO/KS territory: food production,KC metro; 2 locations. Confirmed food business — proceed to Stage 3.
Lawrence Beer Company,Lawrence,Kansas,http://www.lawrencebeerco.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,MO/KS territory. Confirmed food business — proceed to Stage 3.
Submarina California Subs,Topeka,Kansas,http://www.submarina.com,full-service restaurant,OPEN,Food business (restaurants): See Apollo data,"MO/KS territory; $5,152,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Chateau Avalon Hotel Spa and Bar,Kansas City,Kansas,http://www.chateauavalonhotel.com,bar/brewery,OPEN,"Food/hospitality business: chateau avalon is a boutique luxury resort located in kansas city's legends district, set across twe","KC metro; $6,736,000 rev; 2 locations. Food/hospitality business in MO/KS — proceed to Stage 3."
Pizza 51,Kansas City,Missouri,http://www.pizza51.com,full-service restaurant,OPEN,"Food business (restaurants): giant pizza slices, fresh ingredients, sandwiches, wraps, salads and more. delivery available. adjac","KC metro; $8,426,000 rev; 2 locations. Confirmed food/restaurant business — proceed to Stage 3."
So Long Saloon,Manhattan,Kansas,http://www.solongsaloon.com,bar/brewery,OPEN,"Food business (restaurants): so long saloon is a restaurants company located in 1130 moro st, manhattan, kansas, united states.",MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
Austins Bar & Grill Olathe & Gardner KS,Olathe,Kansas,http://www.austinsbarandgrill.com,bar/brewery,OPEN,"Food business (restaurants): austins is a sports bar with steakhouse quality food, served in a clean, modern environment. featuri",KC metro; 2 locations. Confirmed food/restaurant business — proceed to Stage 3.
"JOE'S KANSAS CITY BAR-B-QUE, INC.",Kansas City,Kansas,http://www.joeskc.com,bar/brewery,OPEN,"Food business (restaurants): the original joe's kansas city bbq, born out of a gas station in kansas city and world-famous for ou",KC metro; 4 locations. Confirmed food/restaurant business — proceed to Stage 3.
A Little BBQ Joint,Independence,Missouri,http://www.alittlebarbqjoint.com,full-service restaurant,OPEN,"Food business (restaurants): tucked away in the suburbs of kansas city, you will find one of the best kept bbq secrets that the c",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Brass Rail Sports Bar & Grill,Kansas City,Missouri,http://www.brassrailkc.com,bar/brewery,OPEN,"Food business (restaurants): kansas city's premier restaurant, sports bar & pool hall. casual dining menu, numerous hdtv's for al",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Westport Flea Market,Kansas City,Missouri,http://www.westportfleamarket.com,bar/brewery,OPEN,"Food business (food & beverages): westport flea market is a food and beverages company located in 817 westport rd, kansas city, missou","KC metro; $1,231,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Winsteads,Overland Park,Kansas,http://www.winsteadssteakburger.com,full-service restaurant,OPEN,"Food business (restaurants): winsteads is a company based out of 4971 w 135th st, overland park, kansas, united states.","KC metro; $12,743,000 rev; 6 locations. Confirmed food/restaurant business — proceed to Stage 3."
Bionic Burger,Wichita,Kansas,http://www.bionic-burger.com,full-service restaurant,OPEN,Food business (restaurants): quality food our family has prepared since 1949 and serving wichita since 1977. since steve and pam ,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
Highlander Bar & Grill,Grandview,Missouri,http://www.highlanderbarandgrill.com,bar/brewery,OPEN,"Food business (restaurants): highlander bar &amp; grill is a restaurants company located in 6305 main st, grandview, missouri, un",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Blind Box BBQ,Shawnee,Kansas,,full-service restaurant,OPEN,"Food business (restaurants): a modern take on classic, kansas city style barbecue. bourbon, bbq, and brunch.",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Ole Tyme Produce Inc,Saint Charles,Missouri,http://www.oletyme.com,food distributor/grocer,OPEN,"Food/hospitality business (wholesale): ole tyme produce inc is a privately-held, woman-owned fresh food distributor located in saint charle","MO/KS territory; $3,676,000 rev. Food business confirmed — proceed to Stage 3."
4 Hands Brewing Company,St. Louis,Missouri,http://www.4handsbrewery.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"MO/KS territory; $10,000,000 rev. Confirmed food business — proceed to Stage 3."
Replay Lounge,Lawrence,Kansas,http://www.replaylounge.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"MO/KS territory; $11,161,000 rev. Confirmed food business — proceed to Stage 3."
"The Savage Group, LLC - McDonald's",Lenexa,Kansas,http://www.tsg-mcd.com,full-service restaurant,OPEN,"Food business (restaurants): founded in 2001 by owner-operators ken and cassandra savage, the savage group, llc currently maintai",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Free State Brewing Co,Lawrence,Kansas,http://www.freestatebrewing.com,bar/brewery,OPEN,"Food business (food & beverages): free state brewery has been serving up great handcrafted beers in their local brewery in lawrence, k","MO/KS territory; $17,545,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Martys Bbq,Kansas City,Missouri,http://www.martysbbq.com,full-service restaurant,OPEN,"Food business (restaurants): martys bbq is a restaurants company located in p.o. box 25371, kansas city, missouri, united states.",KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Salsa Grill,Shawnee,Kansas,http://www.thesalsagrill.com,full-service restaurant,OPEN,"Food business (restaurants): salsa grill is a restaurants company located in 6508 martway st, shawnee mission, kansas, united sta","KC metro; $1,962,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Eldridge Hotel,Lawrence,Kansas,http://www.eldridgehotel.com,bar/brewery,OPEN,Food business in MO/KS territory: hospitality,MO/KS territory. Confirmed food business — proceed to Stage 3.
W. VinZant Restaurants,Kansas City,Missouri,http://www.wvinzantrestaurants.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
"715, L.L.C.",Lawrence,Kansas,http://www.715mass.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"MO/KS territory; $12,472,000 rev. Confirmed food business — proceed to Stage 3."
CocoBolos,Overland Park,Kansas,http://www.cocoboloskc.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $2,694,000 rev. Confirmed food business — proceed to Stage 3."
Lidia’s,Kansas City,Missouri,http://www.lidias-kc.com,full-service restaurant,OPEN,"Food business (restaurants): occupying a former railroad house just north of kansas city's historic union station, lidia's evokes","KC metro; $546,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Konrad's Kitchen and Tap House,Lee's Summit,Missouri,http://www.konradskc.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Tequila Harrys Inc,Lee's Summit,Missouri,http://www.tequilaharrys.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $250,000 rev. Confirmed food business — proceed to Stage 3."
Sabor Brasil,Overland Park,Kansas,http://www.tasteofbrazilkc.com,bar/brewery,OPEN,Food business in MO/KS territory: construction,KC metro. Confirmed food business — proceed to Stage 3.
El Charo,Pittsburg,Kansas,http://www.elcharrocafe.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"MO/KS territory; $3,525,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
Tom's Town Distilling Co.,Kansas City,Missouri,http://www.toms-town.com,bar/brewery,OPEN,Food business in MO/KS territory: food production,KC metro. Confirmed food business — proceed to Stage 3.
Taco Lucha,Manhattan,Kansas,http://www.tacoluchamanhattan.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,MO/KS territory. Confirmed food business — proceed to Stage 3.
Burnt End BBQ,Overland Park,Kansas,http://www.burntendbbqkc.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Taco Republic,Kansas City,Kansas,http://www.eattacorepublic.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"KC metro; $3,160,000 rev. Confirmed food business — proceed to Stage 3."
"The Raphael Hotel, Autograph Collection",Kansas City,Missouri,http://www.raphaelkc.com,full-service restaurant,OPEN,"Food/hospitality business: the raphael hotel, autograph collection is located at 325 ward parkway in kansas city, mo.  the nati","KC metro; $4,703,000 rev. Food/hospitality business in MO/KS — proceed to Stage 3."
The Rub Bar-B-Que,Olathe,Kansas,http://www.therubbarbque.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"KC metro; $3,600,000 rev. Confirmed food business — proceed to Stage 3."
SWEET TEE'S COFFEE SHOP,Olathe,Kansas,http://www.sweetteescoffeeshop.com,catering/food truck,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Las Carretas,Lexington,Missouri,http://www.lascarretas.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,MO/KS territory; 3 locations. Confirmed food business — proceed to Stage 3.
Salty Iguana,Prairie Village,Kansas,http://www.saltyiguana.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $23,228,000 rev. Confirmed food business — proceed to Stage 3."
Merchants Pub & Plate,Lawrence,Kansas,http://www.merchantsonmass.com,bar/brewery,OPEN,"Food business (restaurants): with skill, creativity and a rich midwestern harvest, we create comforting yet surprising cuisine fo",MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
J. Rieger & Co.,Kansas City,Missouri,http://www.jriegerco.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Hereford House - Shawnee,Shawnee,Kansas,http://www.herefordhouse.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $17,895,000 rev; 5 locations. Confirmed food business — proceed to Stage 3."
JOHNNY KAW'S INC,Manhattan,Kansas,http://www.johnnykaws.com,bar/brewery,OPEN,Food business in MO/KS territory: recreational facilities & services,MO/KS territory. Confirmed food business — proceed to Stage 3.
Riverwood Winery,Rushville,Missouri,http://www.riverwoodwinery.com,bar/brewery,OPEN,Food business in MO/KS territory: food production,"MO/KS territory; $5,682,000 rev. Confirmed food business — proceed to Stage 3."
Tannin Wine Bar and Kitchen,Kansas City,Missouri,http://www.tanninwinebar.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
District. Pour House + Kitchen,Kansas City,Missouri,http://www.districtpourhousekc.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Longboards Wraps & Bowls,Kansas City,Missouri,http://www.longboardswrapsandbowls.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $3,363,000 rev. Confirmed food business — proceed to Stage 3."
Los Cabos Mexican Grill and Cantina,Independence,Missouri,http://www.loscabosok.com,full-service restaurant,OPEN,Food business in MO/KS territory: ,KC metro. Confirmed food business — proceed to Stage 3.
FlexPro Meals,Kansas City,Missouri,http://www.flexpromeals.com,food manufacturing,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Canyon Cafe LLC,Kansas City,Missouri,http://www.canyoncafe.com,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $17,505,000 rev; 3 locations. Confirmed food business — proceed to Stage 3."
CASCONES,Kansas City,Missouri,http://www.cascones.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $10,000,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
Somerset Ridge Vineyard and Winery,Paola,Kansas,http://www.somersetridge.com,bar/brewery,OPEN,Food business in MO/KS territory: food production,MO/KS territory. Confirmed food business — proceed to Stage 3.
Margarita's,Kansas City,Missouri,http://www.margaritasamigos.com,full-service restaurant,OPEN,Food business in MO/KS territory: ,"KC metro; $2,446,000 rev. Confirmed food business — proceed to Stage 3."
Sushi Gin,Overland Park,Kansas,,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,Asian/ethnic cuisine; KC metro. Confirmed food business — proceed to Stage 3.
Casino White Cloud,White Cloud,Kansas,http://www.casinowhitecloud.org,full-service restaurant,OPEN,Food business in MO/KS territory: entertainment,MO/KS territory. Confirmed food business — proceed to Stage 3.
Los Corrals,Kansas City,Missouri,http://www.loscorrals.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Waldo Pizza,Lee's Summit,Missouri,http://www.ordersummitpizza.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Los Tules,Kansas City,Missouri,http://www.los-tuleskc.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Six Mile Chop House - Tavern,Lawrence,Kansas,http://www.6milechophouse.com,bar/brewery,OPEN,Legitimate food business: actual restaurant,MO/KS territory. Verified as food business in MO/KS territory.
Piropos Restaurant,Kansas City,Missouri,http://www.piroposkc.com,full-service restaurant,OPEN,Food business in MO/KS territory: ,"KC metro; $13,906,000 rev. Confirmed food business — proceed to Stage 3."
Glory Days Pizza,Topeka,Kansas,http://www.glorydayspizza.com,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"MO/KS territory; $17,659,000 rev. Confirmed food business — proceed to Stage 3."
Kansas City Catering,Kansas City,Kansas,http://www.kansascitycatering.com,catering/food truck,OPEN,Food business in MO/KS territory: hospitality,KC metro. Confirmed food business — proceed to Stage 3.
Captain's Sports Lounge,Lee's Summit,Missouri,http://www.captainskc.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Burg & Barrel,Overland Park,Kansas,http://www.burgandbarrel.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Grand Mere Restaurant Group,Overland Park,Kansas,http://www.gmrestaurantgroup.com,full-service restaurant,OPEN,Legitimate food business: Restaurant group - REVEAL,KC metro. Verified as food business in MO/KS territory.
23RD STREET BREWERY,Lawrence,Kansas,http://www.brew23.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"MO/KS territory; $3,054,000 rev. Confirmed food business — proceed to Stage 3."
Il Lazzarone,Saint Joseph,Missouri,http://www.illazzarone.org,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,MO/KS territory. Confirmed food business — proceed to Stage 3.
Europa A Cafe,Kansas City,Missouri,,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,KC metro; 7 locations. Confirmed food business — proceed to Stage 3.
BOBS GRILL,Pittsburg,Kansas,http://www.bobsgrill.org,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,MO/KS territory. Confirmed food business — proceed to Stage 3.
RAOULS,Shawnee,Kansas,http://www.raouls.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $18,729,000 rev. Confirmed food business — proceed to Stage 3."
Portia's Cafe,Kansas City,Missouri,http://www.portiascafe.com,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
Strawberry Hill Baking Company,Merriam,Kansas,http://www.strawberryhill.com,bakery/cafe,OPEN,Food business in MO/KS territory: hospitality,"KC metro; $4,256,000 rev. Confirmed food business — proceed to Stage 3."
Fifth & Emery Frozen Yogurt and Chocolate,Kansas City,Missouri,http://www.fifthandemerykc.com,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,KC metro. Confirmed food business — proceed to Stage 3.
Huckleberry's,Trenton,Missouri,,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,"MO/KS territory; $12,769,000 rev. Confirmed food business — proceed to Stage 3."
Popculture Gourmet Popcorn,Parkville,Missouri,http://www.popculturekc.com,catering/food truck,OPEN,Food business in MO/KS territory: retail,KC metro. Confirmed food business — proceed to Stage 3.
Plaza Catering,Overland Park,Kansas,http://www.plazacatering.com,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,"KC metro; $429,000 rev. Confirmed food business — proceed to Stage 3."
McCoy's Public House and Brew Kitchen,Kansas City,Missouri,,bar/brewery,OPEN,Food business in MO/KS territory: hospitality,KC metro. Confirmed food business — proceed to Stage 3.
Set’em Up Jacks,Lawrence,Kansas,http://www.setemupjacks.com,full-service restaurant,OPEN,Food business (restaurants): welcome to set ‘em up jack’s. home of the 22 ft hd big freakin’ screen. come in for daily specials l,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
The Brewtop Pub & Patio,Kansas City,Missouri,http://www.thebrewtop.com,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,KC metro. Confirmed food business — proceed to Stage 3.
1900 BARKER BAKERY AND CAFE LLC,Lawrence,Kansas,http://www.1900barker.com,bakery/cafe,OPEN,Food business in MO/KS territory: food production,MO/KS territory. Confirmed food business — proceed to Stage 3.
Marina 27 Steak & Seafood,Lake Lotawana,Missouri,http://www.marina27.com,full-service restaurant,OPEN,Food business in MO/KS territory: ,MO/KS territory. Confirmed food business — proceed to Stage 3.
Crows coffee,Kansas City,Missouri,http://www.crowscoffee.com,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,"KC metro; $3,936,000 rev. Confirmed food business — proceed to Stage 3."
